ID,Character,Image,Decomposition,Description
319,弓,3919454.jpg,Component 弓 (name- bow 弓 gōng),(- a bow)
320,公,3920763.jpg,Compound 公  from separation 丷八 bā and  mouth 厶 sī,㕣𠮦 cursive form of 公. 𠮦 cursive form of 召. agitated 怱悤 to 忩 to 总 zǒng.
321,肱,3920952.jpg,Compound 肱 from (rem- 月 yuè) from  ribs ⺼肉 ròu and  related phonetic hand-gong 厷 gōng.,(- original 厷肱)
322,肱,3920958.jpg,Compound 肱 from (rem- 月 yuè) from  ribs ⺼肉 ròu and  related phonetic hand-gong 厷 gōng.,(- original 厷肱)
323,宫,3921697.jpg,Component (宫)宮 from building 宀 mián and  (rem- (吕)呂 lǚ). name- building-palace (宫)宮 gōng,"(宫)宮 indicating many rooms, thus palace"
324,龚,3921906.jpg,Compound 龔  from two-hands-giving 共 gòng and  phonetic snake-dragon (龙)龍 lóng simp 龚.,
325,冓,3922945.jpg,Component 冓. (name- cross-timber-gate 冓 gòu),Shuowen 交積材 gate to be pulled together see 構 gòu  see 𨺅 see 𨽩𨽝 see 再
326,遘,3922877.jpg,Compound 遘  from road-and-foot 辶辶辵 chuò and  phonetic cross-timber-gate 冓 gòu.,
327,遘,3922346.jpg,Compound 遘  from road-and-foot 辶辶辵 chuò and  phonetic cross-timber-gate 冓 gòu.,
328,遘,3923512.jpg,Compound 遘  from road-and-foot 辶辶辵 chuò and  phonetic cross-timber-gate 冓 gòu.,
329,古,3923637.jpg,Component 古 from mouth 口 kǒu and  (rem- 十 shí) from  stroke-gun丨gǔn. (name- mouth-old 古 gǔ),(- possibly meaning straight talk from old people)
330,谷,3924394.jpg,Component 谷  (not- 𧮫 jué) from mouth 口 and  two-ba 𠔁 bié (not- 仌 bīng) A078 谷[穀] simp 谷. (name- water-valley 谷 gǔ),(- indicating water from a source as in 山谷 meaning valley)  (- maybe grain in mouth)
331,蛊,3924988.jpg,Compound 蠱  from bowl 皿 mǐn and  three-insect (虫)蟲 chóng and  insect 虫 chóng.,
332,蛊,3924832.jpg,Compound 蠱  from bowl 皿 mǐn and  three-insect (虫)蟲 chóng and  insect 虫 chóng.,
333,鼓,3925172.jpg,Compound 鼓 alternate 鼔 from drum 壴 zhù and  hand-grabbing-branch 支𠦙𣏃 zhī C201 鼓<皷> simp 鼓.,
334,雇,3925232.jpg,Component 雇 from bird 隹 zhuī and  phonetic door 户戶戸 hù C200 雇<僱> simp 雇. (name- bird-hire 雇 gù),
335,雇,3925197.jpg,Component 雇 from bird 隹 zhuī and  phonetic door 户戶戸 hù C200 雇<僱> simp 雇. (name- bird-hire 雇 gù),
336,雇,3925820.jpg,Component 雇 from bird 隹 zhuī and  phonetic door 户戶戸 hù C200 雇<僱> simp 雇. (name- bird-hire 雇 gù),
337,雇,3926312.jpg,Component 雇 from bird 隹 zhuī and  phonetic door 户戶戸 hù C200 雇<僱> simp 雇. (name- bird-hire 雇 gù),
338,剐,3926987.jpg,Compound 剮  from knife 刂 dāo and  phonetic bone (呙)咼 guō and (not- 別別𠛰 bié) simp 剐.,
339,官,3926254.jpg,Compound 𡧺 mutant 官  from building 宀 mián and  bow 𠂤 duī name- official 官 guān.,
340,毌,3927424.jpg,Component 毌  (not- 毋 wú). (name- two-hands 毌 guàn),two hands grabbing something. 头(贯)貫 guan  (贵)貴䝿 guì (虏)虜虜 lǔ (娄)婁𡝨𡜰 lóu (数)數 shù
341,毌,3927454.jpg,Component 毌  (not- 毋 wú). (name- two-hands 毌 guàn),two hands grabbing something. 头(贯)貫 guan  (贵)貴䝿 guì (虏)虜虜 lǔ (娄)婁𡝨𡜰 lóu (数)數 shù
342,毌,3927988.jpg,Component 毌  (not- 毋 wú). (name- two-hands 毌 guàn),two hands grabbing something. 头(贯)貫 guan  (贵)貴䝿 guì (虏)虜虜 lǔ (娄)婁𡝨𡜰 lóu (数)數 shù
343,毌,3928714.jpg,Component 毌  (not- 毋 wú). (name- two-hands 毌 guàn),two hands grabbing something. 头(贯)貫 guan  (贵)貴䝿 guì (虏)虜虜 lǔ (娄)婁𡝨𡜰 lóu (数)數 shù
344,盥,3928686.jpg,Compound 盥  from bowl 皿 mǐn and  two-hands 𦥑 jú and  water 水 shuǐ.,
345,盥,3928585.jpg,Compound 盥  from bowl 皿 mǐn and  two-hands 𦥑 jú and  water 水 shuǐ.,
346,盥,3930585.jpg,Compound 盥  from bowl 皿 mǐn and  two-hands 𦥑 jú and  water 水 shuǐ.,
347,雚,3930726.jpg,PComponent 雚 from sheep-horns 𠁥 guǎi and (rem+ 吅 xuān eyes)(rem- 艹 cao) from (rem+ 卝 guàn ears of owl) and bird 隹 zhuī and (not- 萑 huán)(not- 雈 huán). (name- bird-heron 雚 guàn),owl with eyes and top notch. 又雚 in  C232 歡<懽讙驩> + A096 欢[歡]雚 A082 观[觀] A207 权[權] A208 劝[勸] C207 罐<鑵> C231 獾<貛䝔> no change in 灌灌 爟爟 瓘瓘 鹳鸛 颧顴
348,雚,3930286.jpg,PComponent 雚 from sheep-horns 𠁥 guǎi and (rem+ 吅 xuān eyes)(rem- 艹 cao) from (rem+ 卝 guàn ears of owl) and bird 隹 zhuī and (not- 萑 huán)(not- 雈 huán). (name- bird-heron 雚 guàn),owl with eyes and top notch. 又雚 in  C232 歡<懽讙驩> + A096 欢[歡]雚 A082 观[觀] A207 权[權] A208 劝[勸] C207 罐<鑵> C231 獾<貛䝔> no change in 灌灌 爟爟 瓘瓘 鹳鸛 颧顴
349,光,3931860.jpg,Component 光 older 灮  from person 儿 ér and  fire 火 huǒ. (name- person-fire 光灮 guāng),
350,光,3931533.jpg,Component 光 older 灮  from person 儿 ér and  fire 火 huǒ. (name- person-fire 光灮 guāng),
351,归,3932122.jpg,Compound 歸 from broom 帚 zhou and  (foot-forward 龰止 zhǐ and  phonetic bow 𠂤 duī) from related phonetic pursue 追 zhuī B036 归[歸] new-char 归 name- return (归)歸 guī.,
352,龟,3933917.jpg,Component 龜 from (rem- ⺈) and  (rem- 电 diàn) B037 龟[龜] new-char 龟. (name- animal-turtle (龟)龜 guī),(- animal turtle) (- significant font differences)
353,龟,3934744.jpg,Component 龜 from (rem- ⺈) and  (rem- 电 diàn) B037 龟[龜] new-char 龟. (name- animal-turtle (龟)龜 guī),(- animal turtle) (- significant font differences)
354,龟,3934234.jpg,Component 龜 from (rem- ⺈) and  (rem- 电 diàn) B037 龟[龜] new-char 龟. (name- animal-turtle (龟)龜 guī),(- animal turtle) (- significant font differences)
355,龟,3934636.jpg,Component 龜 from (rem- ⺈) and  (rem- 电 diàn) B037 龟[龜] new-char 龟. (name- animal-turtle (龟)龜 guī),(- animal turtle) (- significant font differences)
356,癸,3934502.jpg,Component 癸 variant 𤼩 from (rem- 癶 bō) and  (rem- 天 tiān) and  (rem- 矢 shǐ). (name- heavenly-stem-ten 癸𤼩 guǐ),(- possibly grass)
357,癸,3935490.jpg,Component 癸 variant 𤼩 from (rem- 癶 bō) and  (rem- 天 tiān) and  (rem- 矢 shǐ). (name- heavenly-stem-ten 癸𤼩 guǐ),(- possibly grass)
358,鬼,3935981.jpg,Component 鬼 (name- ghost 鬼 guǐ),(- animal with an ugly head and a tail)
359,鬼,3935231.jpg,Component 鬼 (name- ghost 鬼 guǐ),(- animal with an ugly head and a tail)
360,鲧,3936969.jpg,Compound 鯀  from fish (鱼)魚 yú and  thread-connection 系 xì simp 鲧.,(- The line is catching the fish in the ancient form)
361,鲧,3936805.jpg,Compound 鯀  from fish (鱼)魚 yú and  thread-connection 系 xì simp 鲧.,(- The line is catching the fish in the ancient form)
362,果,3936605.jpg,Component 果 from tree 木 mù and  (rem+ 田 tián the-fruit) C210 果<菓> simp 果. (name- tree-fruit 果 guǒ),(- fruit)
363,果,3937259.jpg,Component 果 from tree 木 mù and  (rem+ 田 tián the-fruit) C210 果<菓> simp 果. (name- tree-fruit 果 guǒ),(- fruit)
364,果,3937430.jpg,Component 果 from tree 木 mù and  (rem+ 田 tián the-fruit) C210 果<菓> simp 果. (name- tree-fruit 果 guǒ),(- fruit)
365,亥,3937265.jpg,Component 亥 no-simplification. (name- terrestrial-branch-twelve 亥 hài),"(- terrestrial branch number 12) (- possible, a pig of some kind)"
366,亥,3938238.jpg,Component 亥 no-simplification. (name- terrestrial-branch-twelve 亥 hài),"(- terrestrial branch number 12) (- possible, a pig of some kind)"
367,亥,3938367.jpg,Component 亥 no-simplification. (name- terrestrial-branch-twelve 亥 hài),"(- terrestrial branch number 12) (- possible, a pig of some kind)"
368,亥,3938362.jpg,Component 亥 no-simplification. (name- terrestrial-branch-twelve 亥 hài),"(- terrestrial branch number 12) (- possible, a pig of some kind)"
369,亥,3939199.jpg,Component 亥 no-simplification. (name- terrestrial-branch-twelve 亥 hài),"(- terrestrial branch number 12) (- possible, a pig of some kind)"
370,蒿,3940715.jpg,Compound 蒿 from grass-top 艹艸 cǎo and  phonetic building-tall 高 gāo. (name- artemisia-hao 蒿 hāo),
371,蒿,3940649.jpg,Compound 蒿 from grass-top 艹艸 cǎo and  phonetic building-tall 高 gāo. (name- artemisia-hao 蒿 hāo),
372,蒿,3941128.jpg,Compound 蒿 from grass-top 艹艸 cǎo and  phonetic building-tall 高 gāo. (name- artemisia-hao 蒿 hāo),
373,好,3941162.jpg,Compound 好  from female 女 nǚ and  child 子 zi.,
374,禾,3941255.jpg,Component 禾 (name- grain 禾 hé),(- plant grain stalk)
375,禾,3942818.jpg,Component 禾 (name- grain 禾 hé),(- plant grain stalk)
376,合,3942596.jpg,Compound 合  from inverted-mouth 亼 jí and  mouth 口 kǒu A086 合[閤] not C189 閣<閤> simp 合. (name- two-mouth-together 合 hé),"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
377,合,3942111.jpg,Compound 合  from inverted-mouth 亼 jí and  mouth 口 kǒu A086 合[閤] not C189 閣<閤> simp 合. (name- two-mouth-together 合 hé),"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
378,合,3943844.jpg,Compound 合  from inverted-mouth 亼 jí and  mouth 口 kǒu A086 合[閤] not C189 閣<閤> simp 合. (name- two-mouth-together 合 hé),"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
379,合,3944478.jpg,Compound 合  from inverted-mouth 亼 jí and  mouth 口 kǒu A086 合[閤] not C189 閣<閤> simp 合. (name- two-mouth-together 合 hé),"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
380,合,3945750.jpg,Compound 合  from inverted-mouth 亼 jí and  mouth 口 kǒu A086 合[閤] not C189 閣<閤> simp 合. (name- two-mouth-together 合 hé),"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
381,合,3946904.jpg,Compound 合  from inverted-mouth 亼 jí and  mouth 口 kǒu A086 合[閤] not C189 閣<閤> simp 合. (name- two-mouth-together 合 hé),"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
382,合,3946914.jpg,Compound 合  from inverted-mouth 亼 jí and  mouth 口 kǒu A086 合[閤] not C189 閣<閤> simp 合. (name- two-mouth-together 合 hé),"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
383,合,3946627.jpg,Compound 合  from inverted-mouth 亼 jí and  mouth 口 kǒu A086 合[閤] not C189 閣<閤> simp 合. (name- two-mouth-together 合 hé),"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
384,合,3947177.jpg,Compound 合  from inverted-mouth 亼 jí and  mouth 口 kǒu A086 合[閤] not C189 閣<閤> simp 合. (name- two-mouth-together 合 hé),"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
385,合,3947915.jpg,Compound 合  from inverted-mouth 亼 jí and  mouth 口 kǒu A086 合[閤] not C189 閣<閤> simp 合. (name- two-mouth-together 合 hé),"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
386,何,3947281.jpg,Component 何 from person-left 亻 rén and (rem- 可 kě) and  mouth 口 kǒu and (rem+ 丁 dīng hoe or scythe). name- person-scythe 何 hé,Man carrying a hoe or scythe. Man who caries a tool and sings while he works. see 何可哥歌
387,何,3948358.jpg,Component 何 from person-left 亻 rén and (rem- 可 kě) and  mouth 口 kǒu and (rem+ 丁 dīng hoe or scythe). name- person-scythe 何 hé,Man carrying a hoe or scythe. Man who caries a tool and sings while he works. see 何可哥歌
388,盉,3949789.jpg,Compound 盉  from bowl 皿 mǐn and  phonetic grain 禾 hé.,
389,龢,3949958.jpg,Compound 龢  from music-flute 龠 yuè and  phonetic grain 禾 hé C221 和<龢咊> simp 和 2013 龢.,(- now 和)
390,龢,3950441.jpg,Compound 龢  from music-flute 龠 yuè and  phonetic grain 禾 hé C221 和<龢咊> simp 和 2013 龢.,(- now 和)
391,宏,3950685.jpg,Compound 宏  from building 宀 mián and  related phonetic hand-gong 厷 gōng.,
392,宏,3951169.jpg,Compound 宏  from building 宀 mián and  related phonetic hand-gong 厷 gōng.,
393,宏,3951446.jpg,Compound 宏  from building 宀 mián and  related phonetic hand-gong 厷 gōng.,
394,虹,3951504.jpg,Compound 虹  from insect 虫 chóng and  related phonetic carrying-pole 工 gōng.,(- original oracle was a two headed snake indicating the rainbow) .
395,后,3952380.jpg,Component 后 from person-right-variant 𠂋 rén and  mouth 口 kǒu A088 后[後] simp 后. (name- sovereign 后 hòu),(- right facing person who gives orders) (mirror- 后司) (mirror- 𠂋匕-人)
396,厚,3953899.jpg,Component 厚 older 𠪋 from (rem+ 厂 hǎn-àn pouring-out) and  building 㫗𣆪 hòu. (name- prosperity-hou 厚𠪋 hòu),(- inverted grain-silo-xiang 亯 xiǎng)
397,乎,3953989.jpg,Component 乎 older 𠀒 from air 气彡 qì and (rem+ 丅 sundial)  (name- altar 乎𠀒 hu),"(- probably from a sundial indicating 气彡 air on top and remnant 丅 the sundial below. The references to ""breath"" come from the three strokes 彡)"
398,虍,3954546.jpg,Component 虍. (name- tiger-head 虍 hū),(- a tiger head and teeth) 虎hǔ 虐nüè
399,狐,3954713.jpg,Compound 狐  from dog-left 犭 quǎn and  phonetic plant-melon 瓜 guā.,
400,壶,3954201.jpg,Component 壺𡔲 from (rem- 士 shì) (not- 壸壼𡈋 kǔn) A090 壶[壺] new-char 壶. (name- container 壶壺𡔲 hú),(- a vase-hu)
401,壶,3954441.jpg,Component 壺𡔲 from (rem- 士 shì) (not- 壸壼𡈋 kǔn) A090 壶[壺] new-char 壶. (name- container 壶壺𡔲 hú),(- a vase-hu)
402,壶,3955393.jpg,Component 壺𡔲 from (rem- 士 shì) (not- 壸壼𡈋 kǔn) A090 壶[壺] new-char 壶. (name- container 壶壺𡔲 hú),(- a vase-hu)
403,壶,3955828.jpg,Component 壺𡔲 from (rem- 士 shì) (not- 壸壼𡈋 kǔn) A090 壶[壺] new-char 壶. (name- container 壶壺𡔲 hú),(- a vase-hu)
404,壶,3955859.jpg,Component 壺𡔲 from (rem- 士 shì) (not- 壸壼𡈋 kǔn) A090 壶[壺] new-char 壶. (name- container 壶壺𡔲 hú),(- a vase-hu)
405,壶,3956945.jpg,Component 壺𡔲 from (rem- 士 shì) (not- 壸壼𡈋 kǔn) A090 壶[壺] new-char 壶. (name- container 壶壺𡔲 hú),(- a vase-hu)
406,虎,3956974.jpg,Component 虎 from tiger-head 虍 hū and  (rem+ 几 jī body-and-tail) and  (not- 𠘧 shū). (name- tiger 虎 hǔ),(- tigers head and body 虎)
407,虎,3956877.jpg,Component 虎 from tiger-head 虍 hū and  (rem+ 几 jī body-and-tail) and  (not- 𠘧 shū). (name- tiger 虎 hǔ),(- tigers head and body 虎)
408,虎,3957469.jpg,Component 虎 from tiger-head 虍 hū and  (rem+ 几 jī body-and-tail) and  (not- 𠘧 shū). (name- tiger 虎 hǔ),(- tigers head and body 虎)
409,户,3957686.jpg,Component 戶戸 F033 户戶 simp 户 (name- door (户)戶戸 hù),(- a one leafed door-hu 户戶戸 hù)
410,化,3957756.jpg,Compound 化  from person-left 亻 rén and  person-right 𠤎匕 bǐ.,(- two people one upside down)
411,淮,3958789.jpg,Compound 淮  from three-dot-water 氵 shuǐ and  phonetic bird 隹 zhuī.,
412,萑,4001387.jpg,Component 萑  from grass-top 艹艸 cǎo and  bird 隹 zhuī  (not- 雈 huán) (name- bird-grass 萑 huán).,
413,萑,4012543.jpg,Component 萑  from grass-top 艹艸 cǎo and  bird 隹 zhuī  (not- 雈 huán) (name- bird-grass 萑 huán).,
414,萑,4012708.jpg,Component 萑  from grass-top 艹艸 cǎo and  bird 隹 zhuī  (not- 雈 huán) (name- bird-grass 萑 huán).,
415,萑,4012591.jpg,Component 萑  from grass-top 艹艸 cǎo and  bird 隹 zhuī  (not- 雈 huán) (name- bird-grass 萑 huán).,
416,雈,4013491.jpg,Component 雈 from bird 隹 zhuī and  (rem+ 卝 guàn owls ears) from  sheep-horns 𠁥 guǎi and (not- 萑 huán). (name- bird-egret 雈 huán),(- egret with a feather tuft)
417,雈,4013570.jpg,Component 雈 from bird 隹 zhuī and  (rem+ 卝 guàn owls ears) from  sheep-horns 𠁥 guǎi and (not- 萑 huán). (name- bird-egret 雈 huán),(- egret with a feather tuft)
418,雈,4020856.jpg,Component 雈 from bird 隹 zhuī and  (rem+ 卝 guàn owls ears) from  sheep-horns 𠁥 guǎi and (not- 萑 huán). (name- bird-egret 雈 huán),(- egret with a feather tuft)
419,黄,4020218.jpg,Component 黃 from person-big 大 dà and  sun-day 日 rì and  (rem+ 廿 niàn jade-huang 璜) and  (not- 艹) simp 黄. (name- yellow-sun (黄)黃 huáng),"(- modern versions have a huang 廿璜 huáng around the neck) (- 黃道 - the path of the sun, ecliptic) (- oracle is combination of 大 and 日 or 大 and 口 or Big Sun) (- 太陽道 also means the path of the big light)"
420,黄,4021885.jpg,Component 黃 from person-big 大 dà and  sun-day 日 rì and  (rem+ 廿 niàn jade-huang 璜) and  (not- 艹) simp 黄. (name- yellow-sun (黄)黃 huáng),"(- modern versions have a huang 廿璜 huáng around the neck) (- 黃道 - the path of the sun, ecliptic) (- oracle is combination of 大 and 日 or 大 and 口 or Big Sun) (- 太陽道 also means the path of the big light)"
421,会,4021410.jpg,Component 會 mutant 㑹 from inverted-mouth 亼 jí and  mouth-speaking 曰 yuē and  (rem- 𡆧) from  field 田 tián from rice 米 mǐ B043 会[會] new-char 会. name- meeting (会)會 huì,(- mouths talking 合 about the fields 田 or about rice 米)
422,昏,4021550.jpg,Compound 昏 from person-mister 氏 shì and  sun-day 日 rì C243 昏<昬> simp 昏.,
423,昏,4022982.jpg,Compound 昏 from person-mister 氏 shì and  sun-day 日 rì C243 昏<昬> simp 昏.,
424,火,4022928.jpg,Component 火 (name- fire 火 huǒ),(- a fire) (- context 灬)
425,火,4022655.jpg,Component 火 (name- fire 火 huǒ),(- a fire) (- context 灬)
426,鸡,4023792.jpg,Compound 雞 phonetic puppet-rope 奚 xī and  bird 隹 zhuī C246 鷄<雞> A103 鸡 [鷄] new-char 鸡.,
427,鸡,4023126.jpg,Compound 雞 phonetic puppet-rope 奚 xī and  bird 隹 zhuī C246 鷄<雞> A103 鸡 [鷄] new-char 鸡.,
428,鸡,4023786.jpg,Compound 雞 phonetic puppet-rope 奚 xī and  bird 隹 zhuī C246 鷄<雞> A103 鸡 [鷄] new-char 鸡.,
429,鸡,4024126.jpg,Compound 雞 phonetic puppet-rope 奚 xī and  bird 隹 zhuī C246 鷄<雞> A103 鸡 [鷄] new-char 鸡.,
430,姬,4024509.jpg,Compound 姬  from female 女 nǚ and  phonetic woman-yi 𦣞 yí.,
431,姬,4024667.jpg,Compound 姬  from female 女 nǚ and  phonetic woman-yi 𦣞 yí.,
432,基,4024183.jpg,Compound 基  from potters-clay 土 tǔ and  phonetic basket 其 qí.,
433,箕,4025747.jpg,Compound 箕 from bamboo-top 𥫗竹 zhú and related phonetic basket 其 qí.,
434,箕,4025907.jpg,Compound 箕 from bamboo-top 𥫗竹 zhú and related phonetic basket 其 qí.,
435,櫅,4025649.jpg,Compound 箕 from bamboo-top 𥫗竹 zhú and related phonetic basket 其 qí.,
436,及,4026351.jpg,Component 及  from person 人 rén and  right-hand 又 yòu. (name- person-hand 及 jí),(- right hand grabbing a person)
437,吉,4026764.jpg,Component 吉 from mouth 口 kǒu and (rem- 士 shì). (name- building-silo 吉 jí),(- possibly a storehouse of grain)(- see 享亯)
438,即,4027761.jpg,Compound 即 from person-kneeling 卩 jié and  bowl-of-food 皀 jí.,(- person 卩 eating 皀 - at the moment)
439,即,4027703.jpg,Compound 即 from person-kneeling 卩 jié and  bowl-of-food 皀 jí.,(- person 卩 eating 皀 - at the moment)
440,亟,4028225.jpg,Component 亟 older 𠄹  from right-hand 又 yòu and  (rem- 勹 bāo) from  person 人 rén and mouth 口 kǒu and  (rem- 二 èr). (name- person-urgent 亟 jí),(yelling 口 and hand waving 又 between two 二 people 勹 ) see 仁 荏
441,疾,4028236.jpg,Compound 疾 from 𤕼  from disease 疒𤕫 nè and  arrow 矢 shǐ.,(- disease like being shot with an arrow probably the same origin as 医)
442,疾,4028300.jpg,Compound 疾 from 𤕼  from disease 疒𤕫 nè and  arrow 矢 shǐ.,(- disease like being shot with an arrow probably the same origin as 医)
443,疾,4030536.jpg,Compound 疾 from 𤕼  from disease 疒𤕫 nè and  arrow 矢 shǐ.,(- disease like being shot with an arrow probably the same origin as 医)
444,疾,4030132.jpg,Compound 疾 from 𤕼  from disease 疒𤕫 nè and  arrow 矢 shǐ.,(- disease like being shot with an arrow probably the same origin as 医)
445,疾,4030696.jpg,Compound 疾 from 𤕼  from disease 疒𤕫 nè and  arrow 矢 shǐ.,(- disease like being shot with an arrow probably the same origin as 医)
446,棘,4031210.jpg,Compound 棘  from two fire-drill 朿 cì. (name- thorn-bushes-ji 棘 jí),
447,集,4031451.jpg,Compound 集雧  from tree 木 mù and  to bird 隹 zhuī from three-birds 雥 zá. (name- collection 集雧 jí),
448,耤,4031257.jpg,Compound 𦔡耤  from plow 耒 lěi and  phonetic solstice-sacrifice 昔㫺𦠡 xī. name- to-plough 耤𦔡 jí,
449,耤,4032832.jpg,Compound 𦔡耤  from plow 耒 lěi and  phonetic solstice-sacrifice 昔㫺𦠡 xī. name- to-plough 耤𦔡 jí,
450,耤,4032921.jpg,Compound 𦔡耤  from plow 耒 lěi and  phonetic solstice-sacrifice 昔㫺𦠡 xī. name- to-plough 耤𦔡 jí,
451,耤,4032975.jpg,Compound 𦔡耤  from plow 耒 lěi and  phonetic solstice-sacrifice 昔㫺𦠡 xī. name- to-plough 耤𦔡 jí,
452,耤,4033183.jpg,Compound 𦔡耤  from plow 耒 lěi and  phonetic solstice-sacrifice 昔㫺𦠡 xī. name- to-plough 耤𦔡 jí,
453,己,4033822.jpg,Component 己 (name- weft-self 己 jǐ),(- the waft of a loom 𤕦妃改配圮) (- phonetic-signific 忌紀纪記记) (- see 巳 sì 己 jǐ 已 yǐ) (- phonetic in 鱾魢屺芑杞玘) (- remnant in 岂豈)
454,己,4034979.jpg,Component 己 (name- weft-self 己 jǐ),(- the waft of a loom 𤕦妃改配圮) (- phonetic-signific 忌紀纪記记) (- see 巳 sì 己 jǐ 已 yǐ) (- phonetic in 鱾魢屺芑杞玘) (- remnant in 岂豈)
455,己,4034785.jpg,Component 己 (name- weft-self 己 jǐ),(- the waft of a loom 𤕦妃改配圮) (- phonetic-signific 忌紀纪記记) (- see 巳 sì 己 jǐ 已 yǐ) (- phonetic in 鱾魢屺芑杞玘) (- remnant in 岂豈)
456,己,4035147.jpg,Component 己 (name- weft-self 己 jǐ),(- the waft of a loom 𤕦妃改配圮) (- phonetic-signific 忌紀纪記记) (- see 巳 sì 己 jǐ 已 yǐ) (- phonetic in 鱾魢屺芑杞玘) (- remnant in 岂豈)
457,丮,4035212.jpg,Component 丮 older 𠃨. (name- two-hands 丮𠃨 jǐ),(- 丮𠃨 man kneeling - two hands working) (- monstrosity 𦝠𦟀𣎆)  (- 丸 in 埶 亵褻 势勢 热熱 [执]埶 执執 𦏧孰熟 執𡘺𡙕) (- distorted in 夙𡖊
458,旡,4036573.jpg,Component 旡  from (not- 兂 zan). (name- person-away 旡 ji),(- See 既旣既) (- a kneeling man with his head turned away)  (- Opposite of person-qian 欠 qiàn)
459,旡,4036717.jpg,Component 旡  from (not- 兂 zan). (name- person-away 旡 ji),(- See 既旣既) (- a kneeling man with his head turned away)  (- Opposite of person-qian 欠 qiàn)
460,季,4036494.jpg,Compound 季  from grain 禾 hé and  phonetic child 子 zi.,(- a young 子 sprout 禾 time of year)
461,季,4037565.jpg,Compound 季  from grain 禾 hé and  phonetic child 子 zi.,(- a young 子 sprout 禾 time of year)
462,既,4037112.jpg,Compound 既旣既  from person-away 旡 jì and (not- 兂 zan) and  bowl-of-food 皀 jí. (name- since-eating 既旣既 jì),"(- man leaves after eating, indicating since)."
463,既,4039154.jpg,Compound 既旣既  from person-away 旡 jì and (not- 兂 zan) and  bowl-of-food 皀 jí. (name- since-eating 既旣既 jì),"(- man leaves after eating, indicating since)."
464,洎,4039758.jpg,Compound 洎  from three-dot-water 氵 shuǐ and  phonetic nose 自 zì.,
465,祭,4039912.jpg,Compound 祭 from altar 示 shì and (rem- 月 yuè) from  ribs ⺼肉 ròu and  (rem- ？) from  right-hand 又 yòu. (name- sacrifice 祭 jì),
466,夹,4040456.jpg,Component 夾 from person-big 大 dà and  two person 人 rén and (not- 㚒 shǎn) C253 夾<裌袷> B045 夹[夾] new-char 夹. (name- three-people (夹)夾 jiá),(- person holding two other persons in each hand)
467,夹,4040409.jpg,Component 夾 from person-big 大 dà and  two person 人 rén and (not- 㚒 shǎn) C253 夾<裌袷> B045 夹[夾] new-char 夹. (name- three-people (夹)夾 jiá),(- person holding two other persons in each hand)
468,家,4041949.jpg,Compound 家 from building 宀 mián and  related phonetic pig) 豕 shǐ A108 家[傢] simp 家. (name- home 家 jiā),(- pigs used to live under the house which were on stilts)
469,家,4041474.jpg,Compound 家 from building 宀 mián and  related phonetic pig) 豕 shǐ A108 家[傢] simp 家. (name- home 家 jiā),(- pigs used to live under the house which were on stilts)
470,甲,4042914.jpg,Component 甲 (name- turtle-shell 甲 jiǎ),(- natural crack joints in the underside of a turtle-shell-jia) (- originally looked like 十) (- 天干 - 甲乙丙丁戊己庚辛壬癸)
471,戋,4042131.jpg,Compound 戔 from two dagger-ax 戈 gē B046 戋[戔] new-char 戋. (name- weapons (戋)戔 jiān),(- the sound they make).
472,艰,4043208.jpg,Compound 艱 older 𥌵 from person-look-away 艮𥃩 gěn and  phonetic yellow-earth 堇𡏳 jǐn A110 艰[艱] new-char 艰.,
473,监,4043757.jpg,Compound 監 older 𧗄 from (rem- 皿 mǐn) from  container-blood 血 xuè and  eye-wo 卧臥 wò B047 监[監] new-char 监. (name- supervise (监)監𧗄 jiān),
474,见,4043247.jpg,Component 見 from person 儿 ér and  eye 目 mù B048 见[見] new-char 见. (name- person-eye-see (见)見 jiàn),
475,见,4044431.jpg,Component 見 from person 儿 ér and  eye 目 mù B048 见[見] new-char 见. (name- person-eye-see (见)見 jiàn),
476,姜,4044986.jpg,Compound 姜 from female 女 nǚ and  phonetic sheep 羊 yáng A116 姜[薑] simp 姜.,(- probably from a sheep skin hat)
477,降,4044560.jpg,Compound 降  from left-wall 阝阜𨸏 fù and  related phonetic two-feet-down 夅 jiàng.,
478,降,4045281.jpg,Compound 降  from left-wall 阝阜𨸏 fù and  related phonetic two-feet-down 夅 jiàng.,
479,交,4045263.jpg,Component 交 (name- fire-drill 交 jiāo),"(Shuowen: a man with crossed legs) (a fire drill, originally a fire drill and bow for making fire and drilling holes)"
